Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Rating,Ratings Count,Genres,Has Score,Rating Category
PS4,Torment: Tides of Numenera,Techland,InXile Entertainment,0.0,10000.0,10000.0,0.0,0.0,0.0,2017-02-28,3.58,204.0,"Indie, Strategy, Adventure, RPG",1,Bom
PS4,Memories Off: Innocent File,MAGES,5pb. Games,0.0,10000.0,0.0,0.0,10000.0,0.0,2018-03-29,,,Unknown,0,Sem Avaliação
PS4,Valhalla Hills: Definitive Edition,Kalypso Media,Daedalic Entertainment,0.0,10000.0,10000.0,0.0,0.0,0.0,2017-04-25,,,Unknown,0,Sem Avaliação
PS3,Eiyuu * Senki,5pb,Unknown,0.0,10000.0,0.0,0.0,10000.0,0.0,2013-09-26,,,Unknown,0,Sem Avaliação
PS3,Agarest Senki: Re-appearance,Unknown,Compile Heart,0.0,10000.0,0.0,0.0,10000.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS3,Sengoku Hime: Senkou no Taika - Akatsuki no Haryuu,SystemSoft Alpha,Unknown,0.0,10000.0,0.0,0.0,10000.0,0.0,2012-07-19,,,Unknown,0,Sem Avaliação
PS4,V-Rally 4,Bigben Interactive,Kylotonn,0.0,10000.0,10000.0,0.0,0.0,0.0,2018-09-11,3.03,39.0,Racing,1,Bom
PS3,Saints Row: Gat out of Hell,Deep Silver,Volition Inc.,0.0,10000.0,0.0,10000.0,0.0,0.0,2015-01-20,3.17,690.0,"Adventure, Action",1,Bom
PS3,Strider (2014),Capcom,Double Helix Games,0.0,10000.0,0.0,0.0,10000.0,0.0,2014-02-18,,,Unknown,0,Sem Avaliação
PS4,One Piece: Unlimited World Red Deluxe Edition,Namco Bandai Games,Ganbarion,0.0,10000.0,0.0,0.0,10000.0,0.0,2017-08-25,,,Unknown,0,Sem Avaliação
PS4,New Game! The Challenge Stage!,5pb,5pb. Inc.,0.0,10000.0,0.0,0.0,10000.0,0.0,2017-01-26,,,Unknown,0,Sem Avaliação
PS4,Million Arthur: Arcana Blood,Square Enix,Square Enix,0.0,10000.0,0.0,0.0,10000.0,0.0,2018-11-29,,,Unknown,0,Sem Avaliação
PS3,Dream C Club Zero,D3Publisher,Tamsoft Corporation,0.0,10000.0,0.0,0.0,10000.0,0.0,2013-01-17,,,Unknown,0,Sem Avaliação
PS3,Cars 3: Driven to Win,Warner Bros. Interactive Entertainment,Avalanche Software,0.0,10000.0,10000.0,0.0,0.0,0.0,2017-06-13,,,Unknown,0,Sem Avaliação
PS3,Derby Time Online,Sony Computer Entertainment,SCE Japan Studio,0.0,10000.0,0.0,0.0,10000.0,0.0,2008-11-13,0.0,0.0,Sports,1,Ruim
PS4,Doukoku Soshite... Doukoku Soshite...,El Dia,El Dia,0.0,10000.0,0.0,0.0,10000.0,0.0,2018-04-26,,,Unknown,0,Sem Avaliação
PS3,SBK09 Superbike World Championship,Black Bean Games,Milestone,0.0,10000.0,0.0,10000.0,0.0,0.0,2009-05-29,,,Unknown,0,Sem Avaliação
PS3,Sega Golf Club: Miyazato San Kyoudai Naizou,Sega,Sega,0.0,10000.0,0.0,0.0,10000.0,0.0,2006-11-11,,,Unknown,0,Sem Avaliação
PS4,Moonlighter,Merge Games,Digital Sun,0.0,10000.0,10000.0,0.0,0.0,0.0,2018-11-09,3.74,493.0,"Indie, Adventure, Action",1,Bom
PS4,Mothergunship,Sold Out,Grip Games,0.0,10000.0,10000.0,0.0,0.0,0.0,2018-08-24,3.17,53.0,Action,1,Bom
PS4,Moto Racer 4,Microids,Microids,0.0,10000.0,10000.0,0.0,0.0,0.0,2017-01-24,2.57,37.0,Racing,1,Regular
PS4,Undertale,Toby Fox,Toby Fox,0.0,10000.0,0.0,0.0,10000.0,0.0,2017-08-15,4.35,1863.0,"Indie, RPG",1,Excelente
PS3,Don Bradman Cricket 14,Tru Blu Entertainment,Big Ant Studios,0.0,10000.0,0.0,10000.0,0.0,0.0,2014-04-03,3.71,7.0,"Indie, Simulation, Sports",1,Bom
PS3,Disorder 6,5pb,MAGES. Inc.,0.0,10000.0,0.0,0.0,10000.0,0.0,2013-08-22,0.0,0.0,Adventure,1,Ruim
PS3,Shin Koihime Musou: Otome Taisen * Sangokushi Engi,Views,Unknown,0.0,10000.0,0.0,0.0,10000.0,0.0,2014-02-20,0.0,0.0,"Arcade, Fighting",1,Ruim
PS3,Sakigake!! Otokojuku - Nihon yo Kore ga Otoko Dearu!,Namco Bandai Games,Unknown,0.0,10000.0,0.0,0.0,10000.0,0.0,2014-02-27,,,Unknown,0,Sem Avaliação
PS4,Occultic;Nine,5pb,5pb. Inc.,0.0,10000.0,0.0,0.0,10000.0,0.0,2017-11-09,,,Unknown,0,Sem Avaliação
PS3,Daikoukai Jidai Online: Cruz del Sur,KOEI,Koei,0.0,10000.0,0.0,0.0,10000.0,0.0,2009-04-28,,,Unknown,0,Sem Avaliação
PS3,Romance of the Three Kingdoms 13 with Power-Up Kit,Tecmo Koei,Unknown,0.0,10000.0,0.0,0.0,10000.0,0.0,2017-02-16,,,Unknown,0,Sem Avaliação
PS3,Akatsuki no Goei Trinity,5pb,Syangrila,0.0,10000.0,0.0,0.0,10000.0,0.0,2012-09-20,,,Unknown,0,Sem Avaliação
PS4,Dragon's Dogma Online: Season 3,Capcom,Capcom,0.0,10000.0,0.0,0.0,10000.0,0.0,2017-08-17,,,Unknown,0,Sem Avaliação
PS4,Raven's Cry,TopWare Interactive,Reality Pump Studios,0.0,10000.0,0.0,10000.0,0.0,0.0,2015-01-30,,,Unknown,0,Sem Avaliação
PS5,Shadow of Conspiracy: Section 2,Unknown,Elysium Game Studio,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,SacriFire,Unknown,Pixelated Milk,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Purpose 1951,Unknown,Tonguç Bodur,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS4,Tonari ni Kanojo no Iru Shiawase: Winter Guest,Entergram,Entergram,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-28,,,Unknown,0,Sem Avaliação
PS5,"Warhammer 40,000: Rogue Trader",Unknown,Owlcat Games,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Punch Club 2: Fast Forward,Unknown,Lazy Bear Games,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Shantae Advance: Risky Revolution,Unknown,WayForward,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,WWE 2K25,Unknown,Visual Concepts,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Sackboy: A Big Adventure,Sony Interactive Entertainment,Sumo Digital,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-12,4.13,154.0,"Platformer, Adventure, Action",1,Excelente
PS5,"Warhammer 40,000: Chaos Gate – Daemonhunters",Unknown,Complex Games,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Saints Row (2022),Unknown,Volition,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,2.2,108.0,"Adventure, Action",1,Regular
PS5,Sable,Unknown,Shedworks,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,3.48,155.0,"Indie, Adventure, Action",1,Bom
PS5,"Warhammer 40,000: Boltgun",Unknown,Auroch Digital,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,3.47,74.0,"Indie, Action",1,Bom
PS5,Pumpkin Jack,Unknown,Nicolas Meyssonnier,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,3.68,55.0,"Indie, Adventure, Action",1,Bom
PS5,Sakura Alien,Unknown,Winged Cloud,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Shantae,Unknown,WayForward,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Sakura MMO,Unknown,Winged Cloud,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Sakura MMO 2,Unknown,Winged Cloud,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Planet Coaster: Console Edition,Frontier Developments,Frontier Developments,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-01,,,Unknown,0,Sem Avaliação
PS5,Shadows of Doubt,Unknown,ColePowered Games,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Sakura MMO 3,Unknown,Winged Cloud,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Sakura Succubus 3,Unknown,Winged Cloud,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS4,The Escapists,Team17 Software,Mouldy Toof Studios,0.0,0.0,0.0,0.0,0.0,0.0,2015-06-02,3.42,298.0,"Adventure, Action, RPG, Puzzle, Strategy, Simulation, Indie",1,Bom
PS5,SaGa Emerald Beyond,Unknown,Square Enix,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Shantae and the Pirate's Curse,Unknown,WayForward,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,XDefiant,Unknown,Ubisoft,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,3.52,24.0,Shooter,1,Bom
PS5,Rugrats: Adventures in Gameland,Unknown,The MIX Games,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,0.0,2.0,"Indie, Platformer, Adventure, Action",1,Ruim
PS5,Rumbleverse,Unknown,Iron Galaxy,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Warhammer Age of Sigmar: Realms of Ruin,Unknown,Frontier Developments,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS4,The Infectious Madness of Doctor Dekker,Wales Interactive Ltd.,D'Avekki Studios Limited,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-05,3.91,23.0,"Casual, Indie, Adventure, Simulation",1,Bom
PS5,Zenless Zone Zero,miHoYo,miHoYo,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04,3.35,56.0,"Action, RPG",1,Bom
PS5,Yu-Gi-Oh! Master Duel,Konami,Konami,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-19,,,Unknown,0,Sem Avaliação
PS5,X-Out Resurfaced,Unknown,Rainbow Arts,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Shantae and the Seven Sirens,Unknown,WayForward,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,SBK 22,Unknown,Milestone S.r.l.,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,0.0,0.0,"Racing, Simulation, Sports",1,Ruim
PS5,"Warhammer 40,000: Space Marine 2",Unknown,Saber Interactive,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Ys X: Nordics,Unknown,Nihon Falcom Corporation,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,0.0,3.0,"Adventure, Action, RPG",1,Ruim
PS5,Puyo Puyo Tetris 2,Sega,Sega,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-31,3.88,16.0,"Casual, Family, Action, Puzzle",1,Bom
PS5,SCHiM,Unknown,Ewoud van der Werf,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,0.0,2.0,"Adventure, Action, Puzzle, Casual, Indie",1,Ruim
PS5,SEASON: A letter to the future,Unknown,Scavengers Studio,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,3.64,23.0,"Casual, Indie, Adventure",1,Bom
PS5,REANIMAL,Unknown,Tarsier Studios,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,RAIDOU Remastered: The Mystery of the Soulless Army,Unknown,Atlus,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,0.0,1.0,"Action, RPG",1,Ruim
PS4,The Forest,Endnight Games Ltd,Endnight Games Ltd,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-01,3.74,922.0,"Indie, Adventure, Action",1,Bom
PS5,Planet Coaster 2,Frontier Developments,Frontier Developments,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-06,,,Unknown,0,Sem Avaliação
PS5,SMITE 2,Unknown,Titan Forge Games,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Quantum Error,TeamKill Media,TeamKill Media,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-01,0.0,2.0,"Shooter, Action",1,Ruim
PS5,STARSEEKER: Astroneer Expeditions,Unknown,System Era Softworks,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Puzzle Bobble 3D: Vacation Odyssey,Unknown,Survios,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Sakura Succubus 4,Unknown,Winged Cloud,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,0.0,3.0,Simulation,1,Ruim
PS5,Sakura Succubus 5,Unknown,Winged Cloud,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS4,Toukiden: The Age of Demons,Tecmo Koei,Omega Force,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-31,,,Unknown,0,Sem Avaliação
PS4,Tetris Ultimate,Ubisoft,Ubisoft Montreal,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-16,3.63,49.0,"Casual, Puzzle",1,Bom
PS4,Tales from the Borderlands,Telltale Games,Telltale Games,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-03,,,Unknown,0,Sem Avaliação
PS5,Prince of Persia: The Lost Crown,Unknown,Ubisoft Montpellier,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,3.97,111.0,"Platformer, Adventure, Action",1,Bom
PS4,The Banner Saga,Versus Evil,Stoic Studio,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-12,4.09,735.0,"Strategy, Indie, RPG",1,Excelente
PS5,Pragmata,Capcom,Capcom,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-01,,,Unknown,0,Sem Avaliação
PS5,PowerWash Simulator 2,Unknown,FuturLab,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,PowerWash Simulator,Square Enix,FuturLab,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-31,3.98,149.0,"Casual, Indie, Simulation",1,Bom
PS4,The Assembly,nDreams,nDreams,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-13,3.3,10.0,"Indie, Adventure",1,Bom
PS5,Ys Memoire: The Oath in Felghana,Unknown,Nihon Falcom Corporation,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
PS5,Sclash,Unknown,Bevel bakery,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Date,,,Unknown,0,Sem Avaliação
